Campagne,Temp_C1_Moy,Temp_C1_Std,Temp_C2_Moy,Temp_C2_Std,Temp_C3_Moy,Temp_C3_Std,Niveau_C1_Moy,Niveau_C1_Std,Niveau_C2_Moy,Niveau_C2_Std,Debit_Moy,Debit_Std
Campagne 5,40.852084509147424,21.37438687180674,38.292079614461294,20.48811531182787,44.18445892470939,21.062726227551146,13.618007062869232,26.583138959814992,11.2703561190103,27.54436836082859,31.517695814630983,193.69625899577022
Campagne 6,34.40543558512597,22.439348031049704,34.22273728131877,23.435363958061345,32.00724179529873,21.587502455462232,4.217909506133696,16.03376027431023,32.51843577229832,32.010488796654066,3.9782084419759713,275.7458343704922
Campagne 7,31.900851528384283,15.97423977876398,24.029233107949477,15.535866167742723,28.87739746449114,15.925291331286049,19.6386042299973,32.888354395243965,21.262581941526506,27.864971795511085,4.170829439595126,538.3190193095069
